t, psi, phi, theta
0.0, 0.0, 0.0, 1.1780972450961724
0.00020013342228152102, 0.015097590820555217, 0.0005974815107802975, 1.1611743429558132
0.00040026684456304204, 0.030470486683472447, 0.0004940069644554255, 1.1443689673101305
0.000600400266844563, 0.04614457839543049, -0.0003208524313323772, 1.127704954943228
0.0008005336891260841, 0.062145725313381736, -0.0018575811944279365, 1.111206498444437
0.0010006671114076052, 0.07849963037397699, -0.00412661514170251, 1.094898174562589
0.001200800533689126, 0.09523169742325263, -0.007138215876159332, 1.078804969105368
0.001400933955970647, 0.11236686899379088, -0.010902322632134727, 1.0629522973369934
0.0016010673782521682, 0.12992944280802127, -0.015428380037215464, 1.0473660187150577
0.0018012008005336892, 0.14794286551206376, -0.020725140557401642, 1.0320724446939558
0.0020013342228152103, 0.16642950248559057, -0.02680044071520167, 1.0170983382131304
0.002201467645096731, 0.1854103830515952, -0.03366095063102919, 1.002470903389985
0.002401601067378252, 0.2049049210472379, -0.04131189705824339, 0.9882177638581436
0.0026017344896597733, 0.22493061153220617, -0.049756760880726614, 0.9743669281419006
0.002801867911941294, 0.24550270541836597, -0.05899695103323342, 0.9609467404490298
0.0030020013342228155, 0.2666338650096217, -0.0690314579947033, 0.9479858153099093
0.0032021347565043363, 0.2883338048373456, -0.07985649138685924, 0.9355129546054437
0.003402268178785857, 0.31060892374143523, -0.09146510776170697, 0.9235570457239717
0.0036024016010673785, 0.3334619358361153, -0.10384683633811856, 0.9121469398817915
0.0038025350233488993, 0.3568915097445004, -0.11698731218101824, 0.901311310044181
0.004002668445630421, 0.3808919271911556, -0.1308679280112354, 0.8910784884007272
0.004202801867911941, 0.40545277358472953, -0.1454655173671333, 0.8814762839809852
0.004402935290193462, 0.4305586744565139, -0.16075208306394245, 0.8725317817361378
0.004603068712474984, 0.4561890923822005, -0.1766945856499849, 0.8642711252413504
0.004803202134756504, 0.482318199135385, -0.1932548066728525, 0.856719286062147
0.005003335557038025, 0.5089148371471545, -0.21038930088769864, 0.8498998237345352
0.005203468979319547, 0.5359425827541524, -0.2280494499418371, 0.8438346411797407
0.005403602401601068, 0.5633599211412306, -0.24618162748817168, 0.8385437411484653
0.005603735823882588, 0.5911205393345397, -0.2647274821249262, 0.8340449899002297
0.00580386924616411, 0.6191737391802713, -0.28362434013428134, 0.8303538947055424
0.006004002668445631, 0.6474649671573305, -0.30280572490191376, 0.8274834018554631
0.006204136090727151, 0.6759364524183352, -0.3222019844424074, 0.8254437216332615
0.006404269513008673, 0.7045279390075898, -0.3417410130071371, 0.8242421861271148
0.006604402935290194, 0.7331774931845143, -0.36134904772897103, 0.8238831448490077
0.006804536357571714, 0.7618223626024027, -0.3809515170779609, 0.8243679019102653
0.007004669779853236, 0.7903998611211607, -0.40047391492993784, 0.8256946970533233
0.007204803202134757, 0.8188482515387492, -0.41984267255550295, 0.8278587312402332
0.007404936624416277, 0.8471075986479566, -0.4389860009588462, 0.8308522358535929
0.007605070046697799, 0.8751205667515048, -0.4578346777227817, 0.83466458298233
0.00780520346897932, 0.9028331389395572, -0.476322755688565, 0.8392824328440406
0.008005336891260841, 0.9301952397626896, -0.4943881751296954, 0.8446899132222231
0.008205470313542362, 0.957161248043926, -0.5119732661916153, 0.8508688249317089
0.008405603735823882, 0.9836903920463012, -0.5290251338447773, 0.8577988668015771
0.008605737158105404, 1.009747024633862, -0.5454959230232218, 0.8654578734854836
0.008805870580386925, 1.0353007810684745, -0.5613429666290177, 0.8738220595517688
0.009006004002668445, 1.060326626386214, -0.5765288233886443, 0.8828662637258234
0.009206137424949967, 1.0848048027064006, -0.591021215961549, 0.8925641877964252
0.009406270847231488, 1.1087206892544876, -0.6047928821347514, 0.9028886254904326
0.009606404269513008, 1.1320645893293668, -0.6178213533928266, 0.913811677500355
0.00980653769179453, 1.1548314589924942, -0.6300886757062503, 0.9253049497561864
0.01000667111407605, 1.1770205920292014, -0.641581087161544, 0.937339732915
0.010206804536357573, 1.1986352748900362, -0.6522886662224321, 0.9498871618590903
0.010406937958639093, 1.219682424030081, -0.6622049631303892, 0.9629183547179799
0.010607071380920614, 1.2401722164883717, -0.6713266253870726, 0.976404531544891
0.010807204803202136, 1.2601177228312788, -0.6796530265536583, 0.990317113277917
0.011007338225483656, 1.2795345498417336, -0.6871859058718459, 1.0046278020017547
0.011207471647765177, 1.2984404986619646, -0.6939290245496808, 1.0193086438050902
0.011407605070046699, 1.316855242555538, -0.6998878430270364, 1.0343320757131598
0.01160773849232822, 1.3348000270855696, -0.7050692221810991, 1.0496709582783537
0.01180787191460974, 1.3522973943302334, -0.7094811502717759, 1.0652985954485177
0.012008005336891262, 1.3693709317785905, -0.7131324964649549, 1.0811887433169907
0.012208138759172782, 1.386045045762069, -0.7160327910006642, 1.0973156093034904
0.012408272181454303, 1.4023447586646178, -0.7181920314782534, 1.1136538432323304
0.012608405603735825, 1.4182955286980063, -0.7196205142919477, 1.1301785216739755
0.012808539026017345, 1.4339230907062448, -0.7203286899455444, 1.146865126805723
0.013008672448298866, 1.4492533162527141, -0.7203270407824217, 1.163689520933767
0.013208805870580388, 1.4643120911244865, -0.7196259795651825, 1.180627917706961
0.013408939292861908, 1.4791252083415205, -0.7182357673087499, 1.1976568509458265
0.013609072715143429, 1.493718274767318, -0.7161664487943936, 1.2147531419112239
0.01380920613742495, 1.508116629468084, -0.7134278042552071, 1.2318938657471548
0.014009339559706471, 1.522345272047792, -0.7100293158135462, 1.2490563177522362
0.014209472981987992, 1.5364287992815329, -0.7059801473551711, 1.2662179800644893
