t, psi, phi, theta
0.0, 0.0, 0.0, 0.7853981633974483
0.0001000250062515629, 0.007551812228772058, 0.0009972989197788262, 0.7778613241642287
0.0002000500125031258, 0.015247048660576806, 0.0017866489003060847, 0.7703360408250273
0.0003000750187546887, 0.02309110672698369, 0.0023636481058753717, 0.7628250838133658
0.0004001000250062516, 0.031089497788214803, 0.0027237904552468374, 0.7553312818118021
0.0005001250312578145, 0.039247845083763166, 0.0028624671291577098, 0.7478575242683517
0.0006001500375093774, 0.04757188099211571, 0.002774968797139806, 0.7404067639529647
0.0007001750437609403, 0.056067443565336585, 0.002456488587994836, 0.7329820195510098
0.0008002000500125032, 0.0647404722551541, 0.0019021258877149653, 0.7255863782799213
0.000900225056264066, 0.07359700273393209, 0.0011068910615572875, 0.71822299852873
0.001000250062515629, 0.08264316071750273, 6.571119273342644e-05, 0.710895112496363
0.001100275068767192, 0.09188515467551198, -0.001226563045469673, 0.7036060288165823
0.0012003000750187547, 0.10132926733052217, -0.0027751492896952623, 0.6963591351529907
0.0013003250812703177, 0.11098184582768446, -0.004585324040215251, 0.6891579007441059
0.0014003500875218807, 0.12084929045071738, -0.006662411743996844, 0.682005878876101
0.0015003750937734434, 0.1309380417553013, -0.009011772278529038, 0.6749067092580213
0.0016004001000250064, 0.14125456598647812, -0.011638786703370388, 0.6678641202712731
0.0017004251062765693, 0.15180533860656742, -0.014548841100228027, 0.6608819310516758
0.001800450112528132, 0.16259682587718774, -0.01774730845818088, 0.6539640534072642
0.001900475118779695, 0.17363546436849595, -0.021239528486246256, 0.6471144934799316
0.002000500125031258, 0.18492763808034213, -0.025030784997675738, 0.6403373531425639
0.0021005251312828208, 0.1964796532024755, -0.02912628092898704, 0.6336368310767548
0.002200550137534384, 0.20829771033968827, -0.033531110810110204, 0.6270172234812529
0.0023005751437859467, 0.22038787408400684, -0.03825023056816819, 0.620482924356936
0.0024006001500375095, 0.23275603983048782, -0.0432884245618605, 0.6140384253101487
0.0025006251562890726, 0.2454078977523084, -0.0486502697625474, 0.6076883148124193
0.0026006501625406354, 0.25834889387525223, -0.054340097022542194, 0.6014372768510152
0.002700675168792198, 0.27158418822198327, -0.06036194940140869, 0.5952900889015972
0.0028007001750437613, 0.2851186100332386, -0.06671953755779493, 0.5892516191515698
0.002900725181295324, 0.29895661011675984, -0.07341619225802097, 0.5833268229007459
0.003000750187546887, 0.31310221042583847, -0.08045481410368902, 0.5775207380648378
0.00310077519379845, 0.32755895102803906, -0.08783782063927124, 0.5718384797072562
0.0032008002000500128, 0.3423298346910834, -0.09556709106704271, 0.5662852335259638
0.0033008252063015755, 0.3574172693868621, -0.10364390887070742, 0.5608662482249201
0.0034008502125531387, 0.37282300909564703, -0.112068902730169, 0.5555868267042048
0.0035008752188047014, 0.38854809338000135, -0.12084198619731347, 0.5504523160094361
0.003600900225056264, 0.4045927862903989, -0.12996229669518486, 0.5454680959898568
0.0037009252313078274, 0.42095651526050093, -0.13942813449886307, 0.5406395666255943
0.00380095023755939, 0.4376378107472036, -0.14923690245351728, 0.5359721339983213
0.003900975243810953, 0.454634247466273, -0.15938504728080272, 0.5314711948959069
0.004001000250062516, 0.4719423881653816, -0.1698680034157663, 0.5271421200607119
0.004101025256314079, 0.48955773095895916, -0.1806801403990149, 0.5229902361128975
0.0042010502625656415, 0.5074746613193138, -0.19181471491894397, 0.5190208062043066
0.004301075268817204, 0.5256864098715487, -0.20326382865188536, 0.5152390094848874
0.004401100275068768, 0.544185017171278, -0.21501839307950885, 0.5116499194918473
0.004501125281320331, 0.5629613066495073, -0.22706810246816872, 0.5082584816012062
0.004601150287571893, 0.5820048668840249, -0.23940141616986507, 0.5050694897114894
0.004701175293823456, 0.6013040442975899, -0.2520055513454225, 0.5020875623591479
0.004801200300075019, 0.6208459472872844, -0.2648664871145679, 0.4993171184939838
0.004901225306326582, 0.6406164626549916, -0.2779689810031816, 0.49676235316938216
0.005001250312578145, 0.6606002850359262, -0.2912965983849543, 0.49442721342541607
0.005101275318829708, 0.6807809598119786, -0.3048317554045177, 0.49231537466182296
0.005201300325081271, 0.7011409397527694, -0.31855577562524273, 0.4904302178113868
0.0053013253313328335, 0.7216616553550586, -0.33244896037265476, 0.4887748076314504
0.005401350337584396, 0.7423235985577615, -0.3464906724510079, 0.4873518724313286
0.005501375343835959, 0.7631064192041882, -0.3606594326049325, 0.48616378554570683
0.005601400350087523, 0.7839890333155757, -0.37493302779051746, 0.48521254884836884
0.005701425356339085, 0.804949741941748, -0.3892886300219519, 0.48449977857678894
0.005801450362590648, 0.8259663590774317, -0.4037029242825425, 0.48402669370656026
0.005901475368842211, 0.8470163468877276, -0.4181522437438955, 0.4837941070759614
0.006001500375093774, 0.8680769562839372, -0.4326127103347483, 0.4838024194161649
0.006101525381345336, 0.8891253707402352, -0.4470603785502301, 0.48405161639292976
