t, psi, phi, theta
0.0, 0.0, 0.0, 0.5776
0.00010002000400080016, 0.0018703537205552628, 0.0006284696675093476, 0.5776084397154959
0.00020004000800160032, 0.0037405853232342096, 0.0012570920156678557, 0.5776337588736842
0.0003000600120024005, 0.005610572727792393, 0.0018860196908299812, 0.5776759575097016
0.00040008001600320064, 0.007480193929232458, 0.0025154052707767115, 0.5777350356822305
0.0005001000200040008, 0.0093493270353737, 0.0031454012304841777, 0.5778109934736787
0.000600120024004801, 0.011217850304358623, 0.0037761599079564464, 0.5779038309904331
0.0007001400280056011, 0.013085642182074794, 0.0044078334701448405, 0.5780135483631839
0.0008001600320064013, 0.014952581339470954, 0.005040573878975238, 0.5781401457473211
0.0009001800360072014, 0.016818546709746543, 0.005674532857504645, 0.5782836233234019
0.0010002000400080016, 0.018683417525393826, 0.0063098618562283685, 0.5784439812976885
0.0011002200440088017, 0.02054707335507211, 0.006946712019558649, 0.5786212199027558
0.001200240048009602, 0.02240939414029363, 0.007585234152495723, 0.5788153393981686
0.0013002600520104022, 0.024270260231900764, 0.00822557868751206, 0.5790263400712279
0.0014002800560112022, 0.026129552426314855, 0.008867895651669944, 0.5792542222377843
0.0015003000600120023, 0.02798715200153666, 0.009512334633992875, 0.5794989862431192
0.0016003200640128026, 0.029842940752879153, 0.01015904475311045, 0.5797606324628917
0.0017003400680136028, 0.03169680102841341, 0.010808174625196622, 0.5800391613041507
0.0018003600720144029, 0.03354861576410869, 0.011459872332220386, 0.5803345732064119
0.001900380076015203, 0.035398268518648295, 0.012114285390528078, 0.5806468686427959
0.002000400080016003, 0.03724564350790295, 0.01277156071977583, 0.5809760481212312
0.0021004200840168035, 0.0390906256390438, 0.013431844612230586, 0.5813221121857134
0.0022004400880176033, 0.040933100544277776, 0.014095282702457445, 0.581685061417629
0.0023004600920184036, 0.042772954614188056, 0.014762019937410945, 0.5820648964371326
0.002400480096019204, 0.044610075030663145, 0.015432200546947359, 0.582461617904583
0.002500500100020004, 0.04644434979939838, 0.01610596801477464, 0.5828752265220337
0.0026005201040208044, 0.04827566778195401, 0.016783465049856314, 0.5833057230347772
0.0027005401080216042, 0.050103918727354674, 0.01746483355828499, 0.5837531082329397
0.0028005601120224045, 0.05192899330321535, 0.018150214615640876, 0.5842173829531286
0.0029005801160232048, 0.05375078312637943, 0.018839748439850045, 0.5846985480801267
0.0030006001200240046, 0.05556918079305532, 0.019533574364556813, 0.585196604548633
0.003100620124024805, 0.0573840799084378, 0.020231830813024022, 0.5857115533450508
0.003200640128025605, 0.05919537511580188, 0.020934655272574546, 0.586243395509316
0.0033006601320264054, 0.061002962125056404, 0.021642184269586726, 0.5867921321367693
0.0034006801360272057, 0.06280673774074585, 0.022354553345056056, 0.5873577643800664
0.0035007001400280055, 0.06460659988948929, 0.023071897030734756, 0.5879402934511259
0.0036007201440288058, 0.06640244764684548, 0.023794348825860366, 0.588539720623113
0.003700740148029606, 0.06819418126359442, 0.024522041174483995, 0.5891560472324566
0.003800760152030406, 0.0699817021914255, 0.0252551054434082, 0.5897892746808971
0.003900780156031206, 0.0717649131080235, 0.02599367190074402, 0.5904394044375653
0.004000800160032006, 0.0735437179415442, 0.026737869695095923, 0.5911064380410859
0.004100820164032806, 0.07531802189447125, 0.02748782683538317, 0.5917903771017087
0.004200840168033607, 0.07708773146684769, 0.02824367017130521, 0.5924912233034607
0.004300860172034407, 0.07885275447887513, 0.02900552537445827, 0.5932089784063201
0.004400880176035207, 0.08061300009287467, 0.02977351692010983, 0.5939436442484083
0.004500900180036007, 0.08236837883460395, 0.03054776806963689, 0.5946952227481976
0.004600920184036807, 0.08411880261392553, 0.03132840085363353, 0.5954637159067351
0.004700940188037608, 0.08586418474482231, 0.03211553605569262, 0.596249125809875
0.004800960192038408, 0.08760443996475606, 0.03290929319686596, 0.5970514546305233
0.0049009801960392075, 0.08933948445336601, 0.03370979052080668, 0.5978707046308886
0.005001000200040008, 0.09106923585050478, 0.0345171449795968, 0.5987068781647373
0.005101020204040808, 0.09279361327360992, 0.0353314722202629, 0.5995599776796525
0.005201040208041609, 0.09451253733440915, 0.036152886571981714, 0.6004300057192916
0.005301060212042409, 0.0962259301549585, 0.036981501033977196, 0.6013169649256443
0.0054010802160432084, 0.09793371538301313, 0.03781742726411016, 0.6022208580412846
0.005501100220044009, 0.09963581820673077, 0.03866077556816071, 0.6031416879116164
0.005601120224044809, 0.10133216536870868, 0.039511654889803564, 0.6040794574871099
0.005701140228045609, 0.10302268517935488, 0.040370172801275486, 0.6050341698255286
0.0058011602320464095, 0.10470730752959607, 0.04123643549473384, 0.6060058280941406
0.005901180236047209, 0.10638596390292362, 0.042110547774304535, 0.6069944355719149
0.006001200240048009, 0.10805858738678124, 0.04299261304881746, 0.6079999956517
0.00610122024404881, 0.10972511268329678, 0.04388273332522645, 0.6090225118423821
0.00620124024804961, 0.1113854761193623, 0.04478100920271111, 0.6100619877710202
0.00630126025205041, 0.11303961565606627, 0.04568753986745667, 0.6111184271849573
0.00640128025605121, 0.11468747089748263, 0.04660242308810818, 0.612191833953904
0.00650130026005201, 0.1163289830988219, 0.04752575521189446, 0.6132822120719922
0.006601320264052811, 0.11796409517394935, 0.04845763116141707, 0.6143895656597992
0.006701340268053611, 0.1195927517022765, 0.04939814443209899, 0.6155138989663361
0.006801360272054411, 0.12121489893503237, 0.050347387090287576, 0.6166552163710022
0.006901380276055211, 0.12283048480092033, 0.05130544977200553, 0.6178135223854999
0.007001400280056011, 0.12443945891116857, 0.052272421682343716, 0.6189888216557117
0.007101420284056812, 0.1260417725639811, 0.053248390595489026, 0.6201811189635326
0.0072014402880576115, 0.12763737874839728, 0.05423344285538021, 0.6213904192286606
0.007301460292058411, 0.12922623214756726, 0.05522766337698424, 0.6226167275103391
0.007401480296059212, 0.130808289141453, 0.056231135648185576, 0.6238600490090536
0.007501500300060012, 0.13238350780896257, 0.05724394173228023, 0.6251203890681756
0.007601520304060812, 0.13395184792952694, 0.05826616227106639, 0.6263977531755557
0.0077015403080616125, 0.1355132709841291, 0.05929787648852296, 0.6276921469650617
0.007801560312062412, 0.1370677401557943, 0.06033916219506736, 0.6290035762180627
0.007901580316063212, 0.13861522032955167, 0.06139009579238322, 0.6303320468648542
0.008001600320064013, 0.14015567809187782, 0.062450752278808884, 0.6316775649860228
0.008101620324064814, 0.14168908172963104, 0.06352120525527714, 0.6330401368137497
0.008201640328065612, 0.14321540122848864, 0.06460152693179656, 0.6344197687330528
0.008301660332066413, 0.1447346082708965, 0.06569178813446426, 0.6358164672829615
0.008401680336067214, 0.14624667623354284, 0.06679205831300024, 0.6372302391576244
0.008501700340068013, 0.1477515801843664, 0.06790240554879307, 0.6386610912073518
0.008601720344068814, 0.14924929687911057, 0.06902289656344629, 0.6401090304395849
0.008701740348069614, 0.150739804757435, 0.0701535967278155, 0.6415740640197941
0.008801760352070413, 0.15222308393859615, 0.07129457007152483, 0.6430561992723054
0.008901780356071214, 0.1536991162167077, 0.07244587929295254, 0.6445554436810498
0.009001800360072015, 0.15516788505559326, 0.07360758576967495, 0.6460718048902381
0.009101820364072815, 0.15662937558324297, 0.07477974956935723, 0.6476052907049562
0.009201840368073614, 0.15808357458588587, 0.07596242946108085, 0.6491559090916821
0.009301860372074415, 0.15953047050168948, 0.07715568292709596, 0.6507236681787216
0.009401880376075216, 0.1609700534140992, 0.07835956617498813, 0.6523085762565618
0.009501900380076015, 0.1624023150448295, 0.079574134150248, 0.6539106417781415
0.009601920384076815, 0.1638272487465182, 0.08079944054923288, 0.6555298733590349
0.009701940388077616, 0.16524484949505697, 0.08203553783250914, 0.6571662797775517
0.009801960392078415, 0.1666551138816093, 0.08328247723856425, 0.6588198699747472
0.009901980396079216, 0.16805804010432862, 0.08454030879787727, 0.6604906530543445
0.010002000400080016, 0.16945362795978788, 0.08580908134733699, 0.6621786382825671
0.010102020404080815, 0.17084187883413365, 0.08708884254499606, 0.6638838350878785
0.010202040408081616, 0.1722227956939758, 0.08837963888515107, 0.6656062530606313
0.010302060412082417, 0.17359638307702527, 0.08968151571373643, 0.667345901952621
0.010402080416083218, 0.17496264708249168, 0.09099451724402217, 0.6691027916765468
0.010502100420084017, 0.17632159536125278, 0.09231868657260418, 0.6708769323053742
0.010602120424084817, 0.17767323710580715, 0.09365406569567669, 0.6726683340716025
0.010702140428085618, 0.17901758304002235, 0.09500069552557568, 0.6744770073664338
0.010802160432086417, 0.18035464540869015, 0.09635861590758327, 0.6763029627388425
0.010902180436087218, 0.18168443796689973, 0.0977278656369823, 0.678146210894545
0.011002200440088018, 0.1830069759692412, 0.09910848247635098, 0.6800067626948686
0.011102220444088817, 0.18432227615885025, 0.10050050317308706, 0.681884629155518
0.011202240448089618, 0.18563035675630493, 0.10190396347715175, 0.6837798214452389
0.011302260452090419, 0.18693123744838663, 0.10331889815902326, 0.6856923508843781
0.011402280456091218, 0.1882249393767153, 0.10474534102785032, 0.6876222289433382
0.011502300460092018, 0.18951148512627022, 0.10618332494979556, 0.6895694672409272
0.011602320464092819, 0.19079089871380703, 0.10763288186655981, 0.6915340775426008
0.011702340468093618, 0.19206320557618167, 0.1090940428140774, 0.6935160717585986
